message,label
Hello, how are you?,normal
Win $1000 now!,spam
Can we meet tomorrow?,normal
Congratulations, you've won!,spam
Please call me when you're free.,normal
Get cheap meds now!,spam
Are you available for a call?,normal
Earn money from home easily!,spam
Let's catch up soon.,normal
Click here to claim your reward!,spam
See you at the meeting.,normal
Don't miss out on this offer!,spam
Your account has been compromised!,spam
Join our webinar for free!,spam
You are Dead!,spam
I'm running late, will call you soon.,normal
Your OTP is 254789.,normal
Free entry in 2 a weekly contest to win FA Cup tickets!,spam
Hey, how's your family doing?,normal
Get rich quick with this simple method!,spam
Can you send me the report by EOD?,normal
Exclusive deal just for you! Click now!,spam
Let’s discuss the project timeline tomorrow.,normal
Verify your email to claim your prize.,spam
Meeting is postponed to Friday.,normal
This is not a joke – claim your reward!,spam
Lunch at 1 PM?,normal
Unlimited data for just $1 – today only!,spam
Happy Birthday! 🎉,normal
Cheap flights to Dubai, book now!,spam
Good job on the presentation!,normal
Claim your inheritance from a foreign prince!,spam
I'm in traffic, will be 10 min late.,normal
Important: Update your payment info now!,spam
Thanks for your help yesterday!,normal
You have 1 unread message from a secret admirer!,spam
Want to make $500 daily from home?,spam
Don't forget the groceries.,normal
The deadline was extended till Monday.,normal
Your subscription expires today, renew now!,spam
I’ll pick you up at 7 PM.,normal
Free iPhone for the first 100 users!,spam
Hey! Wanna grab coffee later?,normal
Pay only $1 to unlock premium features!,spam
See you soon!,normal
You’ve been selected for a free gift card!,spam
Where are you?,normal
Urgent! Your account is at risk.,spam
How was the movie?,normal
Hoga Le,normal
Get paid to take surveys online!,spam
Let's plan a weekend trip.,normal
Your feedback is important to us.,normal
Congratulations! You are a lucky winner!,spam
Can you help me with the project?,normal
Don't miss this limited-time offer!,spam
I will send you the details shortly.,normal
Your package has been shipped!,normal
Claim your free vacation now!,spam
Let's have a team lunch next week.,normal
Thanks,normal
